Number_of_Training_Stimuli,mean,std
1,0.7528571428571429,0.009642122253007895
2,0.7485714285714286,0.005634361698190091
3,0.7414285714285714,0.011235135472499273
4,0.7492857142857142,0.007860749532961486
5,0.7368571428571429,0.018538432225723805
6,0.725,0.025153847605937273
7,0.7310204081632653,0.019308226911136653
8,0.7326785714285715,0.015176820627316545
9,0.7039682539682539,0.04121044430074423
10,0.6785714285714285,0.056788584333980346
11,0.663896103896104,0.06690181724869533
12,0.6465476190476191,0.06440428512571818
13,0.666043956043956,0.0579946146672973
14,0.6371428571428572,0.08653264448047834
15,0.5396190476190477,0.04699527967161663
16,0.5598214285714286,0.0836727780514552
17,0.5495798319327732,0.060755262907705984
18,0.5206349206349206,0.09064852549725852
19,0.493157894736842,0.06870775445968559
20,0.4564285714285715,0.06540645637203867
21,0.4442176870748299,0.07316641991699996
22,0.4472727272727274,0.08051412727165898
23,0.425527950310559,0.06253167263693551
24,0.4222023809523809,0.056397426551149835
25,0.3931428571428571,0.05183332786490775
26,0.38,0.10347683875150815
27,0.3843386243386244,0.058440637781351217
28,0.3981632653061225,0.07990381614371307
29,0.370344827586207,0.06378366685418645
30,0.37885714285714306,0.06398388875062459
31,0.35649769585253466,0.08498281171356402
32,0.3408928571428573,0.08387715834924173
33,0.31406926406926416,0.04767116392477182
34,0.34941176470588237,0.0652294892531958
35,0.34591836734693876,0.05707422181898149
36,0.2817063492063493,0.08512178660549652
